Date,Open,High,Low,Close,Adj Close,Volume
2021-12-22,110.000000,113.849998,110.000000,112.650002,112.650002,717411
2021-12-23,113.500000,115.500000,113.199997,114.800003,114.800003,703447
2021-12-24,115.000000,115.599998,112.150002,112.900002,112.900002,575790
2021-12-27,112.900002,115.900002,110.550003,114.599998,114.599998,649632
2021-12-28,115.500000,118.300003,115.500000,116.349998,116.349998,810368
2021-12-29,117.500000,122.099998,117.449997,118.300003,118.300003,1963397
2021-12-30,118.300003,120.500000,116.000000,116.500000,116.500000,710772
2021-12-31,116.800003,122.449997,116.150002,120.750000,120.750000,1987224
2022-01-03,120.750000,121.699997,118.949997,121.000000,121.000000,801082
2022-01-04,121.900002,125.000000,120.000000,123.300003,123.300003,1469304
2022-01-05,123.000000,123.500000,120.800003,122.250000,122.250000,944373
2022-01-06,120.000000,128.449997,119.000000,126.250000,126.250000,2276647
2022-01-07,127.099998,132.000000,123.449997,130.899994,130.899994,2572824
2022-01-10,131.949997,139.250000,131.350006,134.600006,134.600006,3704939
2022-01-11,135.699997,136.500000,131.800003,132.800003,132.800003,1719563
2022-01-12,133.199997,141.300003,133.199997,138.399994,138.399994,3858690
2022-01-13,138.699997,139.449997,135.000000,135.500000,135.500000,1043019
2022-01-14,135.000000,143.000000,134.050003,141.949997,141.949997,3389628
2022-01-17,141.500000,154.550003,141.500000,153.100006,153.100006,6669567
2022-01-18,154.800003,157.649994,146.050003,147.300003,147.300003,4303629
2022-01-19,145.000000,153.199997,140.199997,150.850006,150.850006,2243534
2022-01-20,150.000000,150.000000,139.449997,142.300003,142.300003,4015167
2022-01-21,140.000000,143.399994,135.149994,136.800003,136.800003,2461239
2022-01-24,137.800003,137.800003,124.550003,127.550003,127.550003,2206216
2022-01-25,127.099998,130.649994,120.550003,128.699997,128.699997,3947929
2022-01-27,128.800003,139.800003,127.550003,138.000000,138.000000,7286561
2022-01-28,137.399994,158.750000,136.850006,143.199997,143.199997,9665943
2022-01-31,147.649994,149.000000,144.100006,145.050003,145.050003,1711249
2022-02-01,145.800003,145.800003,139.100006,141.250000,141.250000,1650568
2022-02-02,142.100006,146.149994,142.100006,143.199997,143.199997,1339896
2022-02-03,144.199997,146.949997,140.500000,142.449997,142.449997,1285768
2022-02-04,142.949997,143.350006,139.250000,141.649994,141.649994,969501
2022-02-07,140.899994,146.399994,139.800003,143.050003,143.050003,1653015
